condition,mAP5095,mAP50,mAP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,AR_small,AR_medium,AR_large
clone,0.2505042901820789,0.281013240860954,0.277070795407211,0.0,0.26175362150200254,0.38322101453001406,0.028008948545861292,0.2572520507084265,0.7049310216256526,0.0,0.6195302568014239,0.9555319148936171
fog,0.25023207477313597,0.2932294139639781,0.2814118123112632,0.0,0.24656394000895945,0.3809114278930362,0.020123042505592846,0.2930238627889635,0.6919966442953022,0.0,0.6175031782354437,0.9424468085106381
morning,0.24095834699214072,0.27899132000554294,0.2741378414532348,0.0,0.2418565744768943,0.37014675123982305,0.015154735272184937,0.2897371364653243,0.6913199105145413,0.0,0.6055536486142894,0.9555319148936171
rain,0.2431566560445248,0.27712015026869596,0.271004379298427,0.0,0.24287151203848398,0.38456541297164953,0.02309284116331097,0.2915697240865026,0.6776435495898584,0.0,0.6011753114670735,0.9419148936170212
overcast,0.2049204988125297,0.2342067895845441,0.2218788549273201,0.0,0.193165620901059,0.37834367419315557,0.01820096942580164,0.2568978374347502,0.622166293810589,0.0,0.5352911263666412,0.9581914893617022
sunset,0.22471754272640337,0.2509503690871762,0.24681086750516767,0.0,0.21237076108497366,0.37775910881106267,0.006897837434750186,0.26134228187919467,0.6545973154362416,0.0,0.574744469870328,0.9413829787234042
