condition,detections,mean_conf,mean_area,imgz
clone,1026,0.9019342524366472,0.020908852962372427,30
fog,1093,0.8899623037511436,0.02023951657409009,30
morning,1042,0.9003525796545105,0.020565551366663333,30
overcast,1069,0.8978472020579982,0.020297443004869402,30
rain,1103,0.8921093617407072,0.019900581755616435,30
sunset,1003,0.901111039880359,0.02103626841424299,30
