condition,detections,mean_conf,mean_area,imgz
clone,624,0.8482941057692307,0.024680416932670018,30
fog,545,0.8561337027522936,0.027688748089115155,30
morning,641,0.8413056146645865,0.024485898359690034,30
overcast,605,0.8489900826446282,0.02531816356183306,30
rain,605,0.8465476099173553,0.025388428690606743,30
sunset,601,0.8478414059900167,0.025130353935027355,30
