condition,mAP5095,mAP50,mAP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,AR_small,AR_medium,AR_large
clone,0.0001595788301374598,0.000684474279056463,8.734332790556939e-05,0.0,0.0006464171267608358,0.0,0.0,0.0,0.021111111111111112,0.0,0.021111111111111112,0.0
fog,0.00027839754118159986,0.000825082508250825,0.00021609303787521606,0.0,0.0004926390627568504,0.0,0.0,0.0,0.03444444444444445,0.0,0.03444444444444445,0.0
morning,6.588811046714631e-05,0.000440934781737283,0.0,0.0,0.000353703403127198,0.0,0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0
rain,0.00015561789170529357,0.0006802637393282664,8.85145985862954e-05,0.0,0.0005951981754071227,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0
overcast,0.0005512135276807852,0.0014005329806065084,0.0005511356636645983,0.0,0.0013488182441937573,0.0,0.0,0.0,0.04888888888888889,0.0,0.04888888888888889,0.0
sunset,0.00015915642066084452,0.0006923240409629449,8.446914161251592e-05,0.0,0.0007524859815902874,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0
